LSOA code,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived)
E01000401,13478
E01000402,11661
E01000403,8247
E01000404,7988
E01000405,8556
E01000406,11865
E01000407,19290
E01000408,11511
E01000409,29535
E01000410,27698
E01000411,24984
E01000412,26294
E01000413,23374
E01000414,20333
E01000415,29162
E01000416,10611
E01000417,14752
E01000418,15526
E01000419,26164
E01000420,23155
E01000421,28043
E01000422,5556
E01000423,29890
E01000424,28573
E01000425,28921
E01000426,24090
E01000427,21182
E01000428,11429
E01000429,3591
E01000430,17477
E01000431,5493
E01000432,11135
E01000433,5702
E01000434,4809
E01000435,7461
E01000436,30492
E01000437,20296
E01000438,19919
E01000439,11510
E01000440,27367
E01000441,8484
E01000442,20054
E01000443,15949
E01000444,28530
E01000445,29687
E01000446,29153
E01000447,24076
E01000448,32132
E01000449,30072
E01000450,16089
E01000451,27695
E01000452,27715
E01000453,27021
E01000454,15605
E01000455,26845
E01000456,29319
E01000457,22056
E01000458,29877
E01000459,19511
E01000460,30405
E01000461,28207
E01000462,19613
E01000463,30387
E01000464,10479
E01000465,8670
E01000466,11745
E01000467,15630
E01000468,13661
E01000469,14434
E01000470,4777
E01000471,13163
E01000472,12105
E01000473,10632
E01000474,12945
E01000475,13473
E01000476,14647
E01000477,11703
E01000478,11562
E01000479,18106
E01000480,22429
E01000481,9179
E01000482,6542
E01000483,6463
E01000484,4689
E01000485,8179
E01000486,18391
E01000487,16441
E01000488,11178
E01000489,11883
E01000490,11248
E01000491,13387
E01000492,20615
E01000493,21822
E01000494,14784
E01000495,6848
E01000497,11593
E01000498,6869
E01000499,9517
E01000501,5656
E01000502,8665
E01000503,8720
E01000504,13251
E01000505,14065
E01000506,7823
E01000507,12769
E01000508,4930
E01000509,6199
E01000510,7979
E01000511,7553
E01000512,15315
E01000513,18437
E01000514,19311
E01000515,9286
E01000516,14898
E01000517,20424
E01000518,10230
E01000519,14037
E01000520,13856
E01000521,1713
E01000522,7331
E01000523,7193
E01000524,3221
E01000525,6401
E01000526,3682
E01000527,6182
E01000528,2844
E01000530,18359
E01000531,10593
E01000532,12698
E01000533,4690
E01000534,14890
E01000535,8193
E01000536,23043
E01000538,25022
E01000539,25260
E01000540,23930
E01000541,19152
E01000543,13232
E01000544,6429
E01000545,7854
E01000546,12520
E01000547,12266
E01000548,6791
E01000549,16885
E01000550,6026
E01000551,3943
E01000552,3375
E01000553,8467
E01000554,13528
E01000555,17999
E01000556,7082
E01000557,11719
E01000558,9694
E01000559,12685
E01000560,15170
E01000561,10941
E01000562,23487
E01000563,25021
E01000564,16724
E01000565,11437
E01000566,19130
E01000567,15988
E01000568,19684
E01000569,25177
E01000570,11328
E01000571,12576
E01000572,21873
E01000573,20580
E01000574,23631
E01000575,16668
E01000576,17462
E01000577,6835
E01000578,8553
E01000579,8541
E01000580,14258
E01000581,18404
E01000582,19625
E01000583,13321
E01000584,19420
E01000585,19713
E01000586,13162
E01000587,18908
E01000588,10086
E01000589,15004
E01000590,15271
E01000591,13852
E01000592,13808
E01000593,14685
E01000594,16924
E01000595,2994
E01000596,2747
E01000599,1969
E01000600,5250
E01000601,1192
E01000602,4335
E01000603,4557
E01000604,3443
E01000605,2954
E01000606,14627
E01000607,15403
E01000608,12668
E01000609,13560
E01000610,10807
E01000611,11357
E01000612,12061
E01000613,10614
E01000615,14567
E01000616,13069
E01000617,11317
E01000618,12895
E01000619,14873
E01000620,13624
E01000621,10660
E01000622,7963
E01000623,17826
E01000624,15459
E01000625,12420
E01000626,3361
E01000627,4522
E01000628,6391
E01000629,18148
E01000630,8671
E01000631,17121
E01000632,15543
E01000633,11067
E01000634,12873
E01000635,8174
E01000636,15999
E01000637,11819
E01000638,8516
E01000639,12728
E01000640,9599
E01000641,7673
E01000642,9415
E01000643,2011
E01000644,10775
E01000645,31081
E01000646,26185
E01000647,28453
E01000648,28942
E01000649,25707
E01000650,22579
E01000651,24779
E01000652,29124
E01000653,24777
E01000654,27153
E01000655,24376
E01000656,28540
E01000657,21964
E01000658,28425
E01000659,27441
E01000661,5014
E01000662,15994
E01000663,16476
E01000664,15225
E01000665,23013
E01000666,29934
E01000667,28484
E01000668,22745
E01000669,26111
E01000670,29576
E01000671,23784
E01000672,27582
E01000673,26712
E01000674,21905
E01000675,24305
E01000676,13716
E01000677,20694
E01000678,25871
E01000679,25999
E01000680,25580
E01000681,32415
E01000682,31181
E01000683,21817
E01000684,31879
E01000685,21456
E01000686,27949
E01000687,28847
E01000688,32463
E01000689,12957
E01000690,28098
E01000691,20929
E01000692,28643
E01000693,22520
E01000694,27349
E01000695,27622
E01000696,27929
E01000697,31919
E01000698,19941
E01000699,14234
E01000700,20231
E01000701,21278
E01000702,24366
E01000703,23918
E01000704,24111
E01000705,17604
E01000706,17373
E01000707,32027
E01000708,27232
E01000709,17782
E01000710,24099
E01000711,22423
E01000712,28325
E01000713,26931
E01000714,24549
E01000715,28816
E01000716,27657
E01000717,26511
E01000718,9395
E01000719,10496
E01000720,3404
E01000721,3421
E01000722,11642
E01000723,20244
E01000724,5486
E01000725,9089
E01000726,17771
E01000727,19463
E01000728,13215
E01000729,3993
E01000730,3782
E01000731,8144
E01000732,19583
E01000733,14387
E01000734,22209
E01000735,8001
E01000736,12857
E01000737,7000
E01000738,14203
E01000739,3608
E01000740,10368
E01000741,10835
E01000742,11887
E01000743,5959
E01000744,3807
E01000745,14848
E01000746,16568
E01000747,14131
E01000748,21419
E01000749,22952
E01000750,7689
E01000751,28683
E01000752,26565
E01000753,29304
E01000754,27768
E01000755,30441
E01000756,30572
E01000757,31058
E01000758,32014
E01000759,27295
E01000760,25692
E01000761,27991
E01000762,28376
E01000763,30116
E01000764,21942
E01000765,28050
E01000766,32211
E01000767,30743
E01000768,26148
E01000769,11404
E01000770,29445
E01000771,30037
E01000772,31454
E01000773,28902
E01000774,25304
E01000775,27896
E01000777,27406
E01000778,20877
E01000779,18817
E01000780,12270
E01000781,5113
E01000782,2534
E01000783,7328
E01000784,24279
E01000785,7238
E01000786,25123
E01000787,12471
E01000788,12035
E01000789,5332
E01000790,20322
E01000791,24944
E01000792,15361
E01000793,30674
E01000794,31758
E01000795,19648
E01000796,7964
E01000797,20518
E01000798,3678
E01000799,14874
E01000800,8996
E01000801,15958
E01000802,14577
E01000803,16781
E01000804,26655
E01000805,12954
E01000806,10370
E01000807,29408
E01000808,28321
E01000809,31318
E01000810,32559
E01000811,30389
E01000812,24258
E01000813,32063
E01000814,31234
E01000815,32451
E01000816,19874
E01000818,20548
E01000819,9866
E01000820,13461
E01000822,20757
E01000823,22675
E01000824,18531
E01000825,16991
E01000826,31197
E01000827,30326
E01000828,24387
E01000829,29353
E01000830,31714
E01000831,26887
E01000832,29475
E01000833,32354
E01000834,30642
E01000835,27931
E01000836,29957
E01000837,24247
E01000838,30500
E01000839,31198
E01000840,24041
E01000841,30964
E01000842,26391
E01000843,20412
E01000844,24762
E01000845,22982
E01000846,12675
E01000847,16872
E01000848,29434
E01000849,27430
E01000850,19686
E01000851,18953
E01000852,19304
E01000853,7640
E01000854,18104
E01000855,19276
E01000856,7345
E01000857,19069
E01000858,4987
E01000859,28039
E01000860,16393
E01000861,6470
E01000862,23485
E01000863,6114
E01000864,16182
E01000865,20799
E01000866,12432
E01000867,8822
E01000868,4488
E01000869,12664
E01000870,9686
E01000871,19707
E01000872,11176
E01000873,26279
E01000874,30591
E01000875,12887
E01000876,8051
E01000877,23154
E01000878,29860
E01000879,29597
E01000880,29333
E01000881,20586
E01000882,31192
